Id,Georreferenciación,LATITUD_DECIMAL,LONGITUD_DECIMAL,LATITUD_GMS,LONGITUD_GMS,BPIN,NOMBRE DEL PROYECTO,SECTOR,ALCANCE,FASE DEL PROYECTO,ESTADO GENERAL,ESTADO DETALLE,VALOR SGR,TOTAL PROYECTO,LOCALIZACIÓN DEL PROYECTO,INSTANCIA DE APROBACIÓN INICIAL ,FECHA APROBACIÓN,CÓDIGO EJECUTOR,ENTIDAD EJECUTORA,NIT ENTIDAD EJECUTORA,VALOR TOTAL DE LOS CONTRATOS,NUMERO DE CONTRATOS ASOCIADOS AL PROYECTO,FECHA INICIAL DE LA PROGRAMACIÓN,FECHA FINAL DE LA PROGRAMACIÓN,AVANCE FÍSICO,AVANCE FINANCIERO,RANGO AVANCE FISICO,RANGO AVANCE FINANCIERO,TOTAL PAGOS AL PROYECTO,OFICINA REGIONAL,NÚMERO DE VISITAS
2,"Municipio: Urrao 
Latitud: 6,315556
Longitud: -76,134167
Aguacates, El Escobero, El Paso, El Saladito, El Salvador, El Tunal, Granja Bonita, Guapantal, La Ana, La Cartagena, La Encarnación, La Guayabala, La Linda, La Loma, La Matanza, La Monta, Las Mercedes, Los Animes, Los Barrancos, Los Quemados, Montañitas, Orobugo Arriba, Orobugo la Mina, Pabón Aguas Chiquitas, Pabon El Hato, Pabón Hoyo Rico, Pavón la Concentración, Pavon Porvenir, Pringamosal, Quebrada el Salado, Quebradona, Salado Abajo, San Fernando, San Matías, San Vidal, Santa Ana, Santa Isabel.

Municipio: Titiribí
Latitud: 6,0625
Longitud: -75,793611
Campo Alegre, Caracol, Corcovado, El Morro, El Porvenir, El Volcan, El Zancudo, Falda del Cauca, La Albania, La Cabaña, La Meseta, La Peña, Las Bateas, Loma del Guamo, Los Micos, Otramina, Pueblito de los Bolivares, Sitio Viejo.

Municipio: Jardín
Latitud: 5,598333
Longitud: -75,819722
Cristiania, El Tapado, El Tormento, Gibraltar, La Arboleda, La Casiana, La Herrera, La Linda, Macanas, Morroamarillo, Rio Claro, Serranias, Verdun.

Municipio: Concordia
Latitud: 6,045556
Longitud: -75,907
Billar, Burgos Abajo, Burgos Medio, Casagrande, Caunzal, El Pinal, La Amada, La Arboleda, La Aurora Lanadas, La Costa, La Cristalina, La Limona, La Llorona, La Raya, Las Animas, Llanaditas, Magallo, Majagual, Monte Abajo, Morelia, Morrón, Partidas de Morelia, Pueblo Rico, Rumbadero, San Pacho, Santa Rita Abajo, Santa Rita Arriba, Ventanas, Yarumal Abajo, Yarumal Arriba,. 

Municipio: Betulia
Latitud: 6,112222
Longitud: -75,983889
Alto del Oso, El Cuchillon, El Cuchuco, El Guadual, El Indio, El Leon, El Retiro, El Tostado, Guamala, La Florida, La Mina, La Padilla, La Quiebra, La Urraeña, Los Animes, Piñonal, Quebrada Arriba, San Antonio, San Mateo, Santa Rita.",6.315556,-76.134167,"6°18'56.002""N","76°8'3.001""W",2023003050009,CONSTRUCCIÓN DE VIVIENDA NUEVA RURAL EN LOS MUNICIPIOS DE BETULIA CONCORDIA JARDÍN TITIRIBÍ Y URRAO  ANTIOQUIA,"VIVIENDA, CIUDAD Y TERRITORIO",CONSTRUCCIÓN DE VIVIENDA NUEVA RURAL EN LOS MUNICIPIOS DE BETULIA CONCORDIA JARDÍN TITIRIBÍ Y URRAO ANTIOQUIA,FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,11313236616,17908585452,BETULIA (ANTI)-CONCORDIA (ANTI)-JARDÍN (ANTI)-TITIRIBÍ (ANTI)-URRAO (ANTI),DEPARTAMENTO DE ANTIOQUIA,2023-05-16 00:00:00,6666852,EMPRESA DE DESARROLLO URBANO DE LA CEJA,901105143,17908585452,2,2023-10-03 00:00:00,2026-12-30 00:00:00,76.75,81.75,Entre 50% y 80%,Entre 80% y 100%,14640274164,EJE CAFETERO,
3,"Municipio: Guadalupe
Latitud: 6,813889
Longitud: -75,240833
San Julian, El Machete, San Vicente el Kiosco, Barrio Nuevo, Plan de Perez, Puente Acacias, San Pablo el Caney, San Basilio Abajo, Los Sauces, Malabrigo, San Basilio Medio, Guadual, La Cruz, San Juan, La Candelaria, Guanteros, El Morro, Montañita Cañaveral.

Municipio: Belmira
Latitud: 6,605
Longitud: -75,665833
Playitas, El Valle, La Florida, Labores, Zancudito, Zafra, Potrerito, El Hoyo, La Amoladora, San José, La Salazar, La San Jose, La Miel, Rio Arriba, Santo Domingo, El Yuyal.

Municipio: Angostura
Latitud: 6,885077
Longitud: -75,334669
Alto Rhin,  Bajo Rhin, Batea Seca, Cañaveral Arriba, El Olivo, La Montaña, La Muñoz, La Quinta, Llanos de Cuiva, Los Pinos, Maldonado, Manzanillo, Matablanco, Montañita, Pajarito Abajo, Pajarito Arriba, Palmas, San Alejandro, San Antonio, Tenche Algodón, Trinidad.

Municipio: Campamento
Latitud: 6,979167
Longitud: -75,295833
El Carriel, La Polka, El Bosque, El Piñal, El Reposo, San Pablo, La Frisolera, La Solita, San Jose la Gloria, Llanadas, La Chiquita, Guaduas, El Yerbal, San Roque, Falda del Oso, La Travesia, La Colmena, Cañaveral, Los Ranchos, Los Chorros. ",6.813889,-75.240833,"6°48'50.0""N","75°14'26.999""W",2023003050006,CONSTRUCCIÓN DE VIVIENDA NUEVA RURAL EN LOS MUNICIPIOS DE ANGOSTURA BELMIRA CAMPAMENTO Y GUADALUPE  ANTIOQUIA,"VIVIENDA, CIUDAD Y TERRITORIO",CONSTRUCCIÓN DE 180 VIVIENDAS DE INTERÉS PRIORITARIO RURAL CONSTRUIDAS EN SITIO PROPIO EN LOS MUNICIPIOS DE ANGOSTURA BELMIRA CAMPAMENTO Y GUADALUPE ANTIOQUIA,FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,9194481568,18403783896,ANGOSTURA (ANTI)-BELMIRA (ANTI)-CAMPAMENTO (ANTI)-GUADALUPE (ANTI),DEPARTAMENTO DE ANTIOQUIA,2023-05-16 00:00:00,5086,MUNICIPIO DE BELMIRA,890981880,13799132732,2,2023-09-08 00:00:00,2026-06-28 00:00:00,81.38,42.51,Entre 80% y 100%,Entre 20% y 50%,7824299051,EJE CAFETERO,
5,LATITUD  7 8 56.40 N ; LONGITUD 73 58 13.38 W; Vereda Caño las cruces,7.149,-73.970383,"7°8'56.4""N","73°58'13.379""W",20211301010743,RECUPERACIÓN DEL ECOSISTEMA ESTRATÉGICO DE LA CIÉNAGA LAS CRUCES QUE RESPRESENTA EL PATRIMONIO AMBIENTAL DEL MUNICIPIO DE  YONDÓ,AMBIENTE Y DESARROLLO SOSTENIBLE,"RESTAURAR 138,87 HECTÁREAS DEL ECOSISTEMA DE LA CIÉNAGA LAS CRUCES DEL MUNICIPIO DE YONDÓ, ANTIOQUIA",FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,16442206709,16442206709,YONDÓ (ANTI),ANTIOQUIA - YONDO,2023-10-10 00:00:00,6666853,LA PROVINCIA ADMINISTRATIVA Y DE PLANIFICACION -PAP- DE LA PAZ EN EL DEPARTAMENTO DE ANTIOQUIA,901250504,16442206709,2,2023-12-12 00:00:00,2025-03-05 00:00:00,98.69,93.87,Entre 80% y 100%,Entre 80% y 100%,15434725898,EJE CAFETERO,
7,"Municipio: Villavicencio
Latitud: 4,090451
Longitud: -73,381958
Gobernación del Meta

Municipio: Arauca
Latitud: 7,051297
Longitud: -70,450079
Universidad Cooperativa de Colombia sede Arauca",4.090451,-73.381958,"4°5'25.624""N","73°22'55.049""W",2022000100005,IMPLEMENTACIÓN DE ACCIONES PARA LA PROTECCIÓN DE CUENCAS DE AGUA Y SUELOS A PARTIR DE REFORESTACIÓN CON TECNOLOGÍAS EMERGENTES Y BIOTECNOLOGÍA EN LA REGIÓN LLANOS ORIENTALES EN LOS DEPARTAMENTOS DE  META ARAUCA,"CIENCIA, TECNOLOGÍA E INNOVACIÓN","IMPLEMENTAR LA PROTECCIÓN DE CUENCAS DE AGUA Y SUELOS A PARTIR DE REFORESTACIÓN CON TECNOLOGÍAS EMERGENTES Y BIOTECNOLOGÍA, EN LA REGIÓN LLANOS ORIENTALES, EN LOS DEPARTAMENTOS DE  META, ARAUCA",FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,20335560750,21352271794,VILLAVICENCIO (META)-ARAUCA (ARAU),"DEPARTAMENTO ADMINISTRATIVO DE LA CIENCIA, LA TECNOLOGÍA E INNOVACIÓN, COLCIENCIAS",2022-05-04 00:00:00,6666855,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860029924,11281119421,215,2022-11-01 00:00:00,2026-10-31 00:00:00,71.26,43.67,Entre 50% y 80%,Entre 20% y 50%,9325460324,CENTRO - ENTIDADES DE ORDEN NACIONAL,
8,"Municipio: Repelón
10 29'40""N 75 07'27""O-Distrito de Repelòn.

Municipio: Santa Lucía
10 19'29""N 74 57'32""O-Distrito de Riego.",10.494444,-75.124167,"10°29'39.998""N","75°7'27.001""W",2023002080017,REHABILITACIÓN DE LA TERCERA ETAPA FUNCIONAL DE LOS DISTRITOS DE RIEGO DE REPELÓN Y SANTA LUCÍA EN EL DEPARTAMENTO DEL  ATLÁNTICO,AGRICULTURA Y DESARROLLO RURAL,"REHABILITACIÓN DE LA INFRAESTRUCTURA PRINCIPAL Y SECUNDARIA DE 2600 HECTÁREAS, PERTENECIENTES A LOS DISTRITOS DE RIEGO DE REPELÓN Y SANTA LUCIA EN EL DEPARTAMENTO DEL ATLÁNTICO",FACTIBILIDAD - FASE 3,TERMINADO,TERMINADO,31716794895,32422974021,REPELÓN (ATLA)-SANTA LUCÍA (ATLA),DEPARTAMENTO DE ATLÁNTICO,2023-06-21 00:00:00,8888027,CORPORACION AUTONOMA REGIONAL DEL ATLANTICO CRA,802000339,32389224475,2,2024-01-29 00:00:00,2025-12-08 00:00:00,100.01,99.4,Superior al 100%,Entre 80% y 100%,32229482674,CARIBE I,16-abr-26
9,"En la localidad 8- KENNEDY, en la Unidad de Planeamiento Zonal ±UPZ 83 LAS MARGARITAS.
Su ubicación geográfica corresponde a las siguientes coordenadas:
GPS1: LATITUD 4 38 14.36979  ; LONGITUD 74 10 42.06950 
GPS2: LATITUD 4 38 09.88762  ; LONGITUD 74 10 49.54191",4.637325,-74.178353,"4°38'14.37""N","74°10'42.071""W",2023011010005,CONSTRUCCIÓN DEL CENTRO DE ALTO RENDIMIENTO EN EL MARCO DE LA MANZANA DEL CUIDADO DEL PORVENIR- GIBRALTAR EN LA LOCALIDAD DE KENNEDY EN LACIUDAD DE BOGOTÁ  BOGOTÁ,DEPORTE Y RECREACIÓN,"CONSTRUCCIÓN DEL CENTRO DE ALTO RENDIMIENTO EN LA LOCALIDAD DE KENNEDY - BOGOTÁ CON UNA INTERVENCIÓN APROXIMADA DE 23.467,74 M2 CORRESPONDIENTE AL ÁREA CONSTRUIDA DE LA EDIFICACIÓN Y URBANISMOS APROXIMADA DE 19.102,03 M2",FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,345999999200,382585268078,BOGOTA D.C. (BOGO),BOGOTÁ D.C.,2023-08-23 00:00:00,6666877,INSTITUTO DISTRITAL DE RECREACION Y DEPORTE,860061099,159096441760,4,2024-02-06 00:00:00,2026-06-06 00:00:00,55.93,31.59,Entre 50% y 80%,Entre 20% y 50%,120865124268,CENTRO - ENTIDADES DE ORDEN NACIONAL,15-oct-24; 25-sep-25
10,"MUNICIPIOS DE SAN CRISTOBAL, ARROYOHONDO Y CALAMAR
LOCALIZACION ESPECIFICA: 
La vía se encuentra ubicada específicamente en las coordenadas: K0+000 Inicio (10 15' 28.82""N, 
75 1' 8.19""W) y el K16+350 final (10 22'14.80""N; 75 4'49.07""W).",10.258006,-75.018942,"10°15'28.822""N","75°1'8.191""W",2023002130062,MEJORAMIENTO EN PAVIMENTO FLEXIBLE DEL CORREDOR VIAL ENTRE EL MUNICIPIO DE ARROYO HONDO EL CORREGIMIENTO DE HATOVIEJO (MUNICIPIO DE CALAMAR) Y LA VEREDA LAS CRUCES (MUNICIPIO DE SAN CRISTÓBAL) EN EL DEPARTAMENTO DE  BOLÍVAR,TRANSPORTE,"MEJORAMIENTO DE VÍAS DE ACCESO DESDE LA VEREDA LAS CRUCES CON EL CORREGIMIENTO DE HATOVIEJO QUE COMUNICA EL MUNICIPIO DE SAN CRÍSTOBAL CON EL MUNICIPIO DE CALAMAR  INTERVINIENDO 16,35 KMEL PROYECTO CONTEMPLA LA CARACTERIZACIÓN DEL TRAMO VIAL 16,35KM",FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,92242496858,92242496858,SAN CRISTOBAL (BOLI)-CALAMAR (BOLI),DEPARTAMENTO DE BOLIVAR,2023-05-26 00:00:00,13620,MINICIPIO DE SAN CRISTOBAL,806001278,92242486827,2,2023-09-18 00:00:00,2026-08-10 00:00:00,90.49,85.52,Entre 80% y 100%,Entre 80% y 100%,78882722168,CARIBE II,
12,"Municipio: Pinillos
Las Florez Coordenadas (9.057342, -74.462585)
Palenquito Coordenadas (8.996487, -74.459703)",9.057342,-74.462585,"9°3'26.431""N","74°27'45.306""W",2022135490028,CONSTRUCCIÓN DEL PARQUE PRINCIPAL DE LOS CORREGIMIENTOS DE LAS FLOREZ Y PALENQUITO MUNICIPIO DE  PINILLOS BOLÍVAR,DEPORTE Y RECREACIÓN,"INCREMENTAR LOS NIVELES DE PRACTICA RECREATIVA Y DEPORTIVA ADECUANDO LOS ESCENARIOS EN LOS CORREGIMIENTOS DE LAS FLORES Y PALENQUITO, MUNICIPIO DE PINILLOS-DEPARTAMENTO DE BOLÍVAR.",FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,5271430895,5271430895,PINILLOS (BOLI),BOLIVAR - PINILLOS,2022-07-06 00:00:00,13549,MUNICIPIO DE PINILLOS,800042974,5271430895,2,2023-04-19 00:00:00,2025-12-13 00:00:00,99.78,99.82,Entre 80% y 100%,Entre 80% y 100%,5261815036,CARIBE II,
15,"Municipio: Ramiriquí
5 grados 24 minutos 09 segundos N; 73 grados 20 minutos 09 segundos W",5.4025,-73.335833,"5°24'9.0""N","73°20'8.999""W",2025004150030,CONSTRUCCIÓN Y DOTACIÓN  DE LA PLAZA DE MERCADO  DEL MUNICIPIO DE RAMIRIQUÍ DEPARTAMENTO DE  BOYACÁ,AGRICULTURA Y DESARROLLO RURAL,"CONSTRUCCIÓN DE 4 MÓDULOS COMPRENDIDOS EN BLOQUE ADMINISTRATIVO, BLOQUE DE BAÑOS Y MULTISERVICIOS,BLOQUE MINORISTAS Y BLOQUE MAYORISTAS, EN LA ZONA URBANA DEL MUNICIPIO  DE RAMIRIQUÍ",FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,10000000000,14036839185,RAMIRIQUI (BOYA),DEPARTAMENTO DE BOYACÁ,2025-08-29 00:00:00,15599,MUNICIPIO DE RAMIRIQUI,891801280,14036046141,2,2025-11-24 00:00:00,2026-11-30 00:00:00,60.45,66.57,Entre 50% y 80%,Entre 50% y 80%,9345001349,CENTRO ORIENTE,
17,"5°58'11.9""N 74°34'33.1""W; 5.969970°N, -74.575870°W; carrera 2 calle 10 esquina ",5.969972,-74.575861,"5°58'11.899""N","74°34'33.1""W",2025155720001,CONSTRUCCIÓN VIVIENDAS DE INTERÉS PRIORITARIO EN EL ÁREA URBANA DEL MUNICIPIO DE PUERTO BOYACÁ  BOYACÁ,"VIVIENDA, CIUDAD Y TERRITORIO","CONSTRUIR 78 VIVIENDAS DE INTERÉS PRIORITARIO PARA FAMILIAS VULNERABLES DEL ÁREA URBANA DEL MUNICIPIO DE PUERTO BOYACÁ, DEPARTAMENTO DE BOYACÁ.",FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,10140000000,10140000000,PUERTO BOYACA (BOYA),BOYACÁ - PUERTO BOYACÁ,2025-01-20 00:00:00,15572,MUNICIPIO DE PUERTO BOYACA,891800466,10139999955,1,2025-05-09 00:00:00,2027-01-05 00:00:00,37.54,55.72,Entre 20% y 50%,Entre 50% y 80%,5649591724,CENTRO ORIENTE,26-nov-25
18,"Municipio: La Merced 5 23 07.3 N - 75 32 50.2 O
Municipio: Norcasia 5 34 20.8 N - 74 53 33.8 O",5.385361,-75.547278,"5°23'7.3""N","75°32'50.201""W",2023003170014,CONSTRUCCIÓN DE VIVIENDAS PARA LA REACTIVACIÓN ECONÓMICA Y EL MEJORAMIENTO DE LA CALIDAD DE VIDA  MUNICIPIOS DE NORCASIA Y LA MERCED DEL DEPARTAMENTO  CALDAS,"VIVIENDA, CIUDAD Y TERRITORIO",MEJORAR LAS CONDICIONES HABITACIONALES EN LA ZONA URBANA DE LOS MUNICIPIO DE NORCASIA Y LA MERCED DEL DEPARTAMENTO DE CALDAS A TRAVÉS DE LA CONSTRUCCIÓN DE 84 VIVIENDAS DE INTERÉS PRIORITARIO,FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,7255999836,7255999836,LA MERCED (CALD)-NORCASIA (CALD),DEPARTAMENTO DE CALDAS,2023-09-21 00:00:00,17000,DEPARTAMENTO DE CALDAS,890801052,6837180681,7,2024-02-13 00:00:00,2026-12-29 00:00:00,96.42,90.21,Entre 80% y 100%,Entre 80% y 100%,6545558070,EJE CAFETERO,
19,"5.445922685377307, -74.66157025993907 / Avenida de los estudiantes entre calle 3 y 5",5.445922685377307,-74.66157025993907,"5°26'45.322""N","74°39'41.653""W",2025003170001,CONSTRUCCIÓN CANCHA MUNICIPAL LOS ALPES EN EL MUNICIPIO DE LA DORADA  CALDAS,DEPORTE Y RECREACIÓN,"CONSTRUCCIÓN DE UNA NUEVA INFRAESTRUCTURA EN EL ESTADIO MUNICIPAL EXISTENTE - CONSISTENTE EN UNA CANCHA MUNICIPAL PARA PRÁCTICA Y RECREACIÓN DE FÚTBOL, CON SUS SERVICIOS COMPLEMENTARIOS Y GRADERÍAS CUBIERTAS. CANCHA DE FÚTBOL 11 EN EL BARRIO LOS ALPES DEL MUNICIPIO DE LA DORADA, CALDAS.",FACTIBILIDAD - FASE 3,EN EJECUCIÓN,CONTRATADO EN EJECUCIÓN,9269305047,9269305047,LA DORADA (CALD),DEPARTAMENTO DE CALDAS,2025-06-26 00:00:00,17380,MUNICIPIO DE LA DORADA,890801130,11974401563,4,2025-07-23 00:00:00,2026-05-18 00:00:00,77.04,57.05,Entre 50% y 80%,Entre 50% y 80%,5288425034,EJE CAFETERO,
